,TotPs,AccLB,InAccLB,AccSP,InAccSP,TotKPs,LKPs,SKPs,TotAss,CrAss,CorAss,ThrbAss,FreAss,ThrInAss,OthAss
118,51.8,2.1,2.4,44.1,3.3,0.3,0.1,0.2,-,-,-,-,-,-,-
119,14.4,-,0.1,10.8,3.5,0.5,-,0.5,0.1,-,-,-,-,-,0.1
120,11.7,0.2,0.1,7.2,4.2,0.6,0.1,0.5,0.1,-,-,-,-,-,-
121,46.7,1.1,0.8,40.4,4.4,1.6,-,1.5,0.1,-,-,-,-,-,0.1
122,17.1,0.3,0.1,13,3.7,1.2,0.1,1.1,0.1,-,-,-,-,-,0.1
123,21.9,2.9,7.9,10.9,0.2,-,-,-,-,-,-,-,-,-,-
124,15.6,0.5,0.4,10.8,3.9,0.5,0.1,0.5,0.1,-,-,-,-,-,0.1
125,32.5,4.6,9.3,18.3,0.3,-,-,-,-,-,-,-,-,-,-
126,65.9,2.5,1.9,57.2,4.3,0.2,-,0.2,-,-,-,-,-,-,-
127,21.1,0.8,0.7,16.1,3.5,1.1,0.1,1,0.2,0.1,-,-,-,-,-
128,38.1,0.4,0.9,32.9,3.9,0.6,-,0.6,0.1,-,-,-,-,-,-
129,15.5,0.3,0.3,11.8,3.1,1.2,0.3,1,0.3,0.1,-,-,-,-,0.1
130,27,3,5.1,18.8,0.1,-,-,-,-,-,-,-,-,-,-
131,34.7,0.4,1.6,28.6,4.1,0.6,-,0.6,0.1,-,-,-,-,-,0.1
132,37.8,1.1,1.1,31,4.5,0.4,-,0.4,0.1,-,-,-,-,-,0.1
133,27.4,1.3,2.1,19.9,4,0.6,0.1,0.5,-,-,-,-,-,-,-
134,52.1,3.4,4,40.4,4.2,0.4,0.2,0.2,0.1,-,-,-,-,-,-
135,34.6,0.7,1.3,27.5,5,0.6,0.1,0.5,0.2,-,-,-,-,-,0.1
136,46.9,2.1,2.5,39,3.3,0.4,0.1,0.3,-,-,-,-,-,-,-
137,10.8,0.1,-,8,2.6,0.7,-,0.7,0.2,-,-,-,-,-,0.2
138,31.6,0.8,1.2,25.4,4.1,1.2,0.3,0.9,0.1,0.1,-,-,-,-,-
139,43,1.2,1.8,35.6,4.3,0.5,0.1,0.4,-,-,-,-,-,-,-
140,14.8,0.2,0.1,11.9,2.6,0.7,-,0.7,0.1,0.1,-,-,-,-,-
141,70.4,0.4,0.7,65.4,3.9,0.1,-,0.1,-,-,-,-,-,-,-
142,14.8,0.1,-,12.4,2.4,0.6,-,0.6,0.2,-,-,-,-,-,0.2
143,57.6,4,5.3,44.4,3.9,0.2,0.1,0.1,-,-,-,-,-,-,-
144,18.2,0.3,0.5,12.5,4.9,1.1,-,1.1,0.1,-,-,-,-,-,0.1
145,13.2,0.3,0.2,8.2,4.5,0.6,-,0.6,0.1,-,-,-,-,-,-
146,26.5,1.7,2,18.7,4.1,0.4,0.1,0.3,-,-,-,-,-,-,-
147,50,2.8,3.4,40.6,3.2,0.5,0.1,0.4,-,-,-,-,-,-,-
148,44.5,3.1,4.2,31.9,5.3,0.1,0.1,-,0.1,-,-,-,-,-,-
149,17.7,0.7,0.7,13.3,3,1,-,1,0.1,-,-,-,-,-,0.1
150,43.8,0.9,0.7,38,4.3,0.4,0.1,0.3,-,-,-,-,-,-,-
151,10.3,0.2,0.4,6.2,3.5,0.6,0.1,0.5,0.1,-,-,-,-,-,0.1
152,29.5,6,9.2,14.2,0.2,-,-,-,-,-,-,-,-,-,-
153,25,0.7,0.8,20.7,2.8,0.8,0.3,0.5,-,-,-,-,-,-,-
154,55.8,1,1.4,49.6,3.8,0.4,0.1,0.4,-,-,-,-,-,-,-
155,39.1,0.5,0.2,34.2,4.2,0.7,0.1,0.6,-,-,-,-,-,-,-
156,27.9,1.7,1.9,20.7,3.6,0.7,0.1,0.6,0.1,0.1,-,-,-,-,-
157,45.6,3.4,5.6,33.6,3,0.3,0.2,0.2,-,-,-,-,-,-,-
158,48.2,1.2,2.2,42.5,2.4,0.2,0.1,0.1,-,-,-,-,-,-,-
159,20.8,0.5,0.8,15.5,4,1,0.3,0.7,0.1,0.1,-,-,-,-,-
160,26.8,0.9,0.4,22.6,2.9,0.4,-,0.4,0.1,-,-,-,-,-,0.1
161,50.9,1.6,3.1,41.8,4.4,0.3,-,0.2,-,-,-,-,-,-,-
162,12.5,0.4,0.3,8.4,3.4,0.5,-,0.5,0.1,-,-,-,-,-,0.1
163,67.2,4.1,3.4,55.6,4.1,0.4,0.1,0.3,-,-,-,-,-,-,-
164,41.2,2.2,2.1,33.5,3.3,0.3,0.1,0.2,-,-,-,-,-,-,-
165,20.1,0.7,0.4,17,2,1.4,0.3,1.1,0.1,-,-,-,-,-,0.1
166,58.9,2.2,1.5,52.4,2.8,0.2,-,0.2,-,-,-,-,-,-,-
167,39.1,1.7,1.8,30.5,5.2,0.3,0.1,0.2,-,-,-,-,-,-,-
168,32.3,4.3,6.3,20.8,1,0.3,0.3,-,-,-,-,-,-,-,-
169,36.4,1.3,3.2,28.6,3.4,0.1,-,0.1,-,-,-,-,-,-,-
170,31.9,1.1,2.2,25,3.6,0.7,0.1,0.5,0.1,-,-,-,-,-,0.1
171,26.7,0.2,0.2,22.6,3.7,1.3,-,1.3,0.2,-,-,-,-,-,0.1
172,35,1.1,1.6,27.9,4.3,0.4,0.1,0.3,-,-,-,-,-,-,-
173,28.1,1.3,2.5,19.4,4.9,1.1,0.1,1.1,0.1,0.1,-,-,-,-,0.1
174,77.6,2.6,3.2,67.3,4.5,0.5,-,0.5,-,-,-,-,-,-,-
175,56.4,1.9,2.2,49.7,2.6,0.1,-,0.1,0.1,-,-,-,-,-,0.1
176,34.7,1.7,1,27.4,4.6,0.9,0.3,0.6,0.1,0.1,-,-,-,-,-
177,43.5,0.8,1,38,3.7,0.5,0.2,0.3,-,-,-,-,-,-,-
178,47.4,2.4,3.4,38.4,3.2,0.4,0.4,-,-,-,-,-,-,-,-
179,36.8,1,1.2,29.9,4.7,0.2,-,0.2,-,-,-,-,-,-,-
180,28.1,0.9,1,23.1,3,0.5,-,0.4,-,-,-,-,-,-,-
181,40.6,2.4,2.5,31.8,3.9,0.4,0.2,0.3,-,-,-,-,-,-,-
182,15.8,0.6,0.7,11.8,2.6,0.9,0.1,0.8,0.1,0.1,-,-,-,-,-
183,30.8,6.5,11.2,13,0.1,-,-,-,-,-,-,-,-,-,-
184,35.5,0.6,1.1,29.9,3.8,0.6,0.1,0.5,-,-,-,-,-,-,-
185,21.7,0.3,0.7,17,3.7,1.3,0.3,1,-,-,-,-,-,-,-
186,50.2,2,1.1,44,3.1,1.2,0.6,0.7,0.1,0.1,0.1,-,-,-,-
187,36.9,7.7,13.6,15.2,0.4,-,-,-,-,-,-,-,-,-,-
188,15.7,0.8,2.2,9.8,2.8,0.7,-,0.7,0.2,-,-,-,-,-,0.2
189,44.3,3,4.1,32.9,4.2,0.4,-,0.4,0.1,-,-,-,-,-,0.1
190,40.7,1.4,0.5,35.5,3.4,0.8,0.2,0.7,0.1,-,-,-,-,-,0.1
191,36.9,1.3,1.8,29.8,4,0.7,0.4,0.3,-,-,-,-,-,-,-
192,28.1,0.9,1.5,20.9,4.8,0.7,0.3,0.4,0.1,-,-,0.1,-,-,-
193,23.1,0.2,0.9,18.9,3,0.6,-,0.6,-,-,-,-,-,-,-
194,71.5,1,2.8,64,3.8,0.3,-,0.3,-,-,-,-,-,-,-
195,31.5,0.8,0.5,27.2,3.1,0.4,0.1,0.3,-,-,-,-,-,-,-
196,14.1,0.3,0.2,11.1,2.4,1.1,-,1.1,0.2,0.1,-,-,-,-,-
197,33.6,4.4,6.9,22.1,0.3,0.1,0.1,-,-,-,-,-,-,-,-
198,35.4,2.1,1.5,26.1,5.7,1.4,0.5,0.9,0.1,0.1,0.1,-,-,-,-
199,41.8,2.2,1.7,35.1,2.8,0.7,0.3,0.4,-,-,-,-,-,-,-
200,30.4,3.8,2.5,21.5,2.6,0.2,-,0.2,-,-,-,-,-,-,-
201,31.8,5.4,3.9,22.1,0.4,0.2,0.2,-,0.2,-,-,-,-,-,0.1
202,33.7,5.2,6.8,21.4,0.4,-,-,-,-,-,-,-,-,-,-
203,3,-,-,2,1,-,-,-,-,-,-,-,-,-,-
204,25.9,1.3,0.5,22.3,1.7,0.5,0.2,0.3,0.1,0.1,0.1,-,-,-,-
205,49,1.3,0.7,44.1,2.9,1.2,0.1,1.1,0.1,-,-,-,-,-,0.1
206,37.1,0.9,0.7,31.9,3.7,1,0.2,0.7,0.2,0.1,-,-,-,-,-
207,13.2,0.3,0.1,11.4,1.4,0.5,0.1,0.4,0.1,-,-,-,-,-,-
208,40.6,2.1,1,34.9,2.6,0.7,0.1,0.6,-,-,-,-,-,-,-
209,44.5,4.8,5.6,29.9,4.2,0.2,-,0.2,-,-,-,-,-,-,-
210,45.4,2.5,3.7,36.5,2.6,0.3,0.1,0.2,-,-,-,-,-,-,-
211,25.4,0.8,0.4,22.2,2.1,0.4,-,0.4,-,-,-,-,-,-,-
212,17.9,0.6,0.6,13.7,3,0.9,0.2,0.7,0.1,0.1,-,-,-,-,-
213,43.3,1.4,1.2,36.1,4.7,0.7,-,0.6,-,-,-,-,-,-,-
214,12.3,0.3,0.2,8.2,3.6,0.7,-,0.6,0.1,-,-,0.1,-,-,-
215,49,1,1.1,44.6,2.3,0.2,-,0.1,-,-,-,-,-,-,-
216,8,0.1,0.1,4.5,3.3,0.3,-,0.3,-,-,-,-,-,-,-
217,22.1,0.2,0.4,20,1.5,1.2,0.1,1.1,0.1,-,-,-,-,-,0.1
218,65.5,1.5,2.2,58,3.7,0.2,-,0.2,0.2,-,-,-,-,-,0.2
219,30.6,1.4,0.8,25.5,3,0.3,0.1,0.2,-,-,-,-,-,-,-
220,25.5,1,0.9,21.1,2.7,1.3,0.6,0.7,-,-,-,-,-,-,-
221,24.9,1.1,1.4,18.2,4.1,1.8,0.7,1.2,0.1,0.1,-,-,-,-,0.1
222,12.3,0.1,0.2,7.7,4.3,0.3,-,0.3,-,-,-,-,-,-,-
223,26.9,0.7,0.6,23,2.7,0.4,0.1,0.4,-,-,-,-,-,-,-
224,33.3,3.3,9.2,20.7,0.1,-,-,-,-,-,-,-,-,-,-
225,29.1,4.3,12,12.7,0.2,0.1,0.1,-,-,-,-,-,-,-,-
226,34.4,0.9,0.9,29.8,2.9,0.4,0.1,0.4,-,-,-,-,-,-,-
227,85.7,2.5,2.4,77.7,3.1,0.2,-,0.2,-,-,-,-,-,-,-
228,29.7,5.2,8.9,15.1,0.5,-,-,-,-,-,-,-,-,-,-
229,45.4,1.2,1.8,39.2,3.2,0.6,-,0.6,-,-,-,-,-,-,-
230,34.1,1.8,2.7,24.8,4.8,0.3,-,0.3,-,-,-,-,-,-,-
231,46.1,1.8,2.3,39,3,1.3,0.3,1,-,-,-,-,-,-,-
232,25,4,7.3,13.7,-,-,-,-,-,-,-,-,-,-,-
233,26.3,0.3,0.8,22.1,3.1,0.9,0.3,0.6,-,-,-,-,-,-,-
234,32.2,0.7,0.8,28,2.7,-,-,-,-,-,-,-,-,-,-
235,39.3,2.1,2.5,31.8,2.8,0.1,0.1,0.1,-,-,-,-,-,-,-
236,27.9,1,1.7,21.8,3.4,0.6,0.3,0.3,-,-,-,-,-,-,-
237,34.3,4.3,10.1,19.7,0.2,-,-,-,-,-,-,-,-,-,-
238,11.2,0.1,0.1,8.8,2.1,0.5,0.1,0.4,-,-,-,-,-,-,-
239,42,2.3,1.5,30.5,7.7,1.1,0.1,1,-,-,-,-,-,-,-
240,30.5,0.6,0.4,28.1,1.4,0.7,-,0.7,0.1,-,-,-,-,-,0.1
241,46.2,1.4,1.7,39.9,3.2,0.2,-,0.2,-,-,-,-,-,-,-
242,4.5,0.3,0.1,2.7,1.5,0.2,-,0.2,-,-,-,-,-,-,-
243,28.6,1.1,1.2,23.3,3.1,0.3,0.1,0.3,0.1,-,-,-,-,-,0.1
244,33.4,4.2,10.2,18.4,0.5,-,-,-,-,-,-,-,-,-,-
245,30.8,0.5,0.2,27.6,2.5,0.6,-,0.6,0.1,-,-,-,-,-,0.1
246,23,2,2.9,14.7,3.3,0.7,0.1,0.6,0.1,-,-,-,-,-,0.1
247,28.7,0.4,0.4,24.8,3,0.5,0.1,0.4,0.1,-,-,-,-,-,0.1
248,15,0.3,0.2,12,2.5,0.3,-,0.3,-,-,-,-,-,-,-
249,45.4,0.9,2.4,38.8,3.3,0.1,-,0.1,-,-,-,-,-,-,-
250,10.6,0.1,0.1,7.3,3,0.6,-,0.6,0.1,-,-,-,-,-,0.1
251,30.5,2.5,-,26,2,0.5,-,0.5,-,-,-,-,-,-,-
252,38.6,1.5,0.6,34.3,2.1,0.4,-,0.4,-,-,-,-,-,-,-
253,22.8,0.6,0.3,19.2,2.7,0.5,-,0.5,0.1,-,-,-,-,-,0.1
254,48.9,1.3,1.7,42.8,3.1,0.4,0.1,0.3,0.1,-,-,-,-,-,0.1
255,34.6,1,2.3,25.7,5.6,0.4,-,0.4,-,-,-,-,-,-,-
256,29.4,1.1,1.3,22.6,4.4,1.8,0.5,1.3,0.1,-,-,-,-,-,-
257,7.1,0.1,-,4.8,2.2,0.4,-,0.4,0.1,-,-,-,-,-,0.1
258,35.9,1.5,2.3,27.9,4.1,0.6,0.2,0.5,-,-,-,-,-,-,-
259,6.3,0.2,-,4.6,1.5,0.4,-,0.4,0.1,-,-,-,-,-,0.1
260,21.3,0.4,1.1,16.2,3.7,0.5,-,0.5,0.1,-,-,-,-,-,0.1
261,34.5,5.5,14.2,14.1,0.7,-,-,-,-,-,-,-,-,-,-
262,11,1,-,10,-,1,-,1,-,-,-,-,-,-,-
263,23.9,2.1,3.3,17.6,0.9,-,-,-,-,-,-,-,-,-,-
264,8,0.4,0.2,5.3,2.2,0.4,-,0.4,0.1,-,-,-,-,-,0.1
265,16.3,0.4,0.3,13.6,1.9,0.5,0.1,0.4,0.1,-,-,-,-,-,0.1
266,32.6,1.5,1.9,26,3.1,0.5,0.1,0.4,0.1,-,-,-,-,-,0.1
267,33.3,6.5,10.5,15.5,0.8,-,-,-,-,-,-,-,-,-,-
268,27.6,0.7,0.5,22,4.4,0.9,-,0.9,-,-,-,-,-,-,-
269,37.4,1.6,1.6,30.4,3.9,0.6,0.2,0.4,-,-,-,-,-,-,-
270,60.6,2.4,2.8,52,3.4,0.1,-,0.1,-,-,-,-,-,-,-
271,35.2,1,0.5,29.7,4.1,0.7,-,0.7,-,-,-,-,-,-,-
272,20.1,0.5,0.3,16.3,3,0.8,-,0.8,-,-,-,-,-,-,-
273,15.5,0.5,0.4,12.5,2.1,0.9,-,0.8,0.2,0.1,-,-,-,-,0.1
274,10.6,0.3,0.3,6.3,3.8,0.4,-,0.4,-,-,-,-,-,-,-
275,26,1.1,0.5,22.2,2.2,0.4,0.1,0.3,-,-,-,-,-,-,-
276,53.2,1.2,1.4,49,1.6,0.1,-,0.1,-,-,-,-,-,-,-
277,24.5,1,0.6,20.5,2.5,0.9,0.3,0.7,0.1,-,-,-,-,-,0.1
278,25,0.5,0.6,20.4,3.4,0.9,0.1,0.8,0.1,-,-,-,-,-,-
279,14.6,0.6,0.1,11.3,2.6,0.6,-,0.6,-,-,-,-,-,-,-
280,8.8,-,0.3,5.8,2.8,0.8,-,0.8,0.1,-,-,-,-,-,0.1
281,27.4,1,1.3,20.3,4.8,0.4,0.1,0.3,-,-,-,-,-,-,-
282,5.9,0.1,-,4.6,1.2,0.2,-,0.2,-,-,-,-,-,-,-
283,18.4,0.4,0.4,15,2.6,0.7,-,0.6,-,-,-,-,-,-,-
284,60.6,2.6,1.8,52,4.2,-,-,-,-,-,-,-,-,-,-
285,28.3,0.8,1.2,22.3,4,1.1,0.2,0.9,0.1,0.1,0.1,-,-,-,-
286,16.9,0.7,0.3,13.8,2,0.6,0.1,0.5,-,-,-,-,-,-,-
287,29.3,1.5,0.9,22,5,1.1,0.3,0.8,0.1,-,-,-,-,-,-
288,17.2,0.2,0.3,14,2.7,0.7,0.1,0.7,-,-,-,-,-,-,-
289,22.9,0.5,1.2,19.8,1.5,0.4,0.2,0.2,0.2,0.1,-,-,-,-,0.1
